No,sirket,ise_giris_tarihi
192,FİYUU,2023-04-01
193,FİYUU,2023-04-01
194,FİYUU,2023-04-01
195,FİYUU,2023-04-01
196,FİYUU,2023-04-01
197,ATA Yatırım,2023-03-01
198,ATA Yatırım,2023-03-01
199,ATA Portföy,2023-03-02
200,ATA Portföy,2023-04-01
201,ATA Portföy,2023-04-01
202,ATA Portföy,2023-04-01
203,FASDAT,2023-03-13
204,FASDAT,2023-03-15
205,FASDAT,2023-03-17
206,FASDAT,2023-03-14
207,FASDAT,2023-03-17
208,FASDAT,2023-03-17
209,FASDAT,2023-03-15
210,FASDAT,2023-03-15
211,FASDAT,2023-03-15
212,FASDAT,2023-03-25
213,FASDAT,2023-03-17
214,FASDAT,2023-03-03
215,FASDAT,2023-03-03
216,FASDAT,2023-03-03
217,FASDAT,2023-03-17
218,FASDAT,2023-03-01
219,FASDAT,2023-03-16
220,FASDAT,2023-03-01
221,FASDAT,2023-03-21
222,FASDAT,2023-03-21
223,FASDAT,2023-03-28
224,FASDAT,2023-03-28
225,FASDAT,2023-03-28
226,FASDAT,2023-04-01
227,FASDAT,2023-04-01
228,FASDAT,2023-04-01
229,FASDAT,2023-04-01
230,FASDAT,2023-04-01
231,FASDAT,2023-04-01
232,FASDAT,2023-04-01
233,FASDAT,2023-04-01
234,FASDAT,2023-04-01
235,FASDAT,2023-04-01
236,FASDAT,2023-04-01
237,FASDAT,2023-04-01
238,FASDAT,2023-04-01
239,FASDAT,2023-04-01
240,FASDAT,2023-04-01
241,FASDAT,2023-04-01
244,ARBETA Turizm,2023-04-06
245,ATA Sancak,2023-04-01
246,ATA Sancak,2023-04-01
247,ATA Sancak,2023-04-01
248,ATA Sancak,2023-04-01
249,ATA Sancak,2023-04-01
250,ATA Sancak,2023-04-01
251,ATA Sancak,2023-04-01
252,ATA Sancak,2023-04-01
253,ATA Sancak,2023-04-01
254,ATA Sancak,2023-04-01
255,ATA Sancak,2023-04-01
256,ATA Sancak,2023-04-01
257,ATA Sancak,2023-04-01
258,ATA Sancak,2023-04-01
259,ATA Sancak,2023-04-01
260,ATA Sancak,2023-04-01
261,ATA Sancak,2023-04-01
262,ATA Sancak,2023-04-01
263,ATA Sancak,2023-04-03
264,ATA Sancak,2023-04-03
265,ATA Sancak,2023-04-03
266,ATA Sancak,2023-04-03
267,ATA Sancak,2023-04-03
268,ATA Sancak,2023-04-03
269,ATA Sancak,2023-04-03
270,ATA Sancak,2023-04-03
271,ATA Sancak,2023-04-01
272,ATA Sancak,2023-04-01
273,ATA Sancak,2023-04-04
274,ATA Sancak,2023-04-05
275,ATA Sancak,2023-04-05
276,ATA Sancak,2023-04-05
277,ATA Sancak,2023-04-05
278,ATA Sancak,2023-04-06
279,ATA Sancak,2023-04-06
280,ATA Sancak,2023-04-06
281,ATA Sancak,2023-04-06
282,ATA Sancak,2023-04-10
283,ATA Sancak,2023-04-10
284,ATA Sancak,2023-04-10
285,ATA Sancak,2023-04-10
286,ATA Sancak,2023-04-10
287,ATA Sancak,2023-04-10
288,ATA Sancak,2023-04-10
289,ATA Sancak,2023-04-10
290,ATA Sancak,2023-04-10
291,ATA Sancak,2023-04-12
292,ATA Sancak,2023-04-18
293,ATA Sancak,2023-04-20
294,ATA Sancak,2023-04-24
295,ATA Sancak,2023-04-25
296,ATA Sancak,2023-04-26
297,ATA Sancak,2023-04-28
298,ATP,2023-04-11
299,ATP,2023-04-17
300,ATP,2023-04-03
301,ATP,2023-04-03
302,ATP,2023-04-05
303,ATP,2023-04-10
304,ATP,2023-04-24
305,ATP,2023-04-10
306,ATP,2023-04-03
307,ATP,2023-04-03
308,ENTEGRE HARÇ - İstanbul,2023-04-01
309,ENTEGRE HARÇ - İstanbul,2023-04-01
310,ENTEGRE HARÇ - İstanbul,2023-04-01
311,ENTEGRE HARÇ - İstanbul,2023-04-01
312,ENTEGRE HARÇ - İstanbul,2023-04-01
313,ENTEGRE HARÇ - İstanbul,2023-04-01
314,ENTEGRE HARÇ - İstanbul,2023-04-01
315,ENTEGRE HARÇ - İstanbul,2023-04-01
316,ENTEGRE HARÇ - İstanbul,2023-04-01
317,ENTEGRE HARÇ - İstanbul,2023-04-01
318,ENTEGRE HARÇ - İstanbul,2023-04-01
319,ENTEGRE HARÇ - İstanbul,2023-04-01
320,ENTEGRE HARÇ - İstanbul,2023-04-01
321,ENTEGRE HARÇ - İstanbul,2023-04-01
322,ENTEGRE HARÇ - Ankara,2023-04-01
323,ENTEGRE HARÇ - İstanbul,2023-04-01
324,ENTEGRE HARÇ - Ankara,2023-04-01
325,ENTEGRE HARÇ - Burdur,2023-04-01
326,ENTEGRE HARÇ - İstanbul,2023-04-03
327,ENTEGRE HARÇ - Ankara,2023-04-03
328,ENTEGRE HARÇ - Ankara,2023-04-05
329,ENTEGRE HARÇ - İstanbul,2023-04-05
330,ENTEGRE HARÇ - Ankara,2023-04-05
331,ENTEGRE HARÇ - Burdur,2023-04-06
332,ENTEGRE HARÇ - İstanbul,2023-04-06
333,ENTEGRE HARÇ - İstanbul,2023-04-08
334,TFI,2023-04-01
335,TFI,2023-04-01
336,TFI,2023-04-03
337,TFI,2023-04-13
338,ATA Yatırım,2023-04-01
339,ATA Yatırım,2023-04-01
340,ATA Portföy,2023-04-01
341,ATA Yatırım,2023-04-01
342,ATA Portföy,2023-04-01
343,ATA Yatırım,2023-04-01
344,ATA Yatırım,2023-04-01
345,ATA Portföy,2023-04-01
346,ATA Yatırım,2023-04-01
347,ATA Yatırım,2023-04-01
348,ATA Yatırım,2023-04-01
349,ATA Yatırım,2023-04-01
350,ATA Yatırım,2023-04-10
351,FASDAT,2023-04-01
352,FASDAT,2023-04-11
353,FASDAT,2023-04-25
354,FASDAT,2023-04-11
355,FASDAT,2023-04-03
356,FASDAT,2023-04-11
357,FASDAT,2023-04-10
358,FASDAT,2023-04-24
359,FASDAT,2023-04-20
360,FİYUU,2023-04-01
361,FİYUU,2023-04-01
362,FİYUU,2023-04-03
363,FİYUU,2023-04-03
364,FİYUU,2023-04-03
365,FİYUU,2023-04-06
366,FİYUU,2023-04-06
367,FİYUU,2023-04-10
368,FİYUU,2023-04-10
369,FİYUU,2023-04-10
370,FİYUU,2023-04-14
371,FİYUU,2023-04-19
372,FİYUU,2023-04-21
373,FİYUU,2023-04-24
374,FİYUU,2023-04-25
375,FİYUU,2023-04-28
